#Here are the data you should use to try out your skills with emcee! Good luck!
#   x-values              data_noisy                err
#------------------------------------------------------------
-50.0                   316.738996572          108.223158164
-49.8396793587          370.07162167          109.187699546
-49.6793587174          326.255250048          96.9422983845
-49.5190380762          477.676416635          91.819690772
-49.3587174349          284.421443792          111.609936561
-49.1983967936          540.266593114          93.8770831101
-49.0380761523          382.941567679          98.3115150376
-48.877755511          313.834833841          87.2110081425
-48.7174348697          352.795835243          113.065975465
-48.5571142285          342.435734629          84.3669319235
-48.3967935872          601.630957561          110.636369898
-48.2364729459          448.666789076          116.55827277
-48.0761523046          289.910603265          101.086857215
-47.9158316633          363.71685833          110.152469371
-47.755511022          441.916473973          92.7961587756
-47.5951903808          346.521510891          79.8094779569
-47.4348697395          375.553120923          114.32821013
-47.2745490982          593.405929202          97.3409048105
-47.1142284569          556.128964606          96.5850066935
-46.9539078156          421.230417145          90.0287242904
-46.7935871743          647.31244682          105.765556699
-46.6332665331          437.177398544          104.157217411
-46.4729458918          588.864164356          110.626329638
-46.3126252505          319.998789218          109.674481303
-46.1523046092          551.687387041          107.29785585
-45.9919839679          608.836544845          105.441698569
-45.8316633267          385.384973613          94.6446912145
-45.6713426854          643.191508932          100.516843807
-45.5110220441          476.725207688          97.1513331961
-45.3507014028          455.558197997          103.317528402
-45.1903807615          321.019673771          99.8668428298
-45.0300601202          442.844255056          107.888772389
-44.869739479          379.461228418          90.1598449207
-44.7094188377          589.109656945          106.9676603
-44.5490981964          487.193458717          115.350096478
-44.3887775551          308.459212004          85.8876114679
-44.2284569138          458.398540347          84.2056892502
-44.0681362725          419.40160071          95.2977925993
-43.9078156313          336.165557426          95.8673264214
-43.74749499          429.782187697          90.9077833301
-43.5871743487          385.631662965          75.7304066746
-43.4268537074          415.268291314          90.0310257679
-43.2665330661          482.822157537          112.811395187
-43.1062124248          353.188522931          82.9021527148
-42.9458917836          394.298314685          92.8023536548
-42.7855711423          388.938968392          117.598587427
-42.625250501          264.245227838          94.5329404855
-42.4649298597          450.289859767          89.1016774153
-42.3046092184          458.68238417          99.0739927453
-42.1442885772          488.992854106          98.1649137795
-41.9839679359          537.946424262          84.9767020139
